Entity,Code,Year,Share who spoke to friends or family,Share who said people would feel very comfortable speaking with someone they knew,Population,World region according to OWID
Africa,OWID_AFR,2020,79.290146,31.021803,1380821349,
Albania,ALB,2020,86.524994,25.491678,2871950,Europe
Algeria,DZA,2020,,31.641382,44042094,Africa
Argentina,ARG,2020,71.9629,26.543772,45191960,South America
Asia,OWID_ASI,2020,77.5206,24.826124,4686811214,
Australia,AUS,2020,83.661896,7.19499,25743787,Oceania
Austria,AUT,2020,87.92614,47.740067,8921402,Europe
Bahrain,BHR,2020,79.08222,43.191044,1483081,Asia
Bangladesh,BGD,2020,65.628235,26.184614,166298024,Asia
Belgium,BEL,2020,76.020325,11.0023155,11540102,Europe
Benin,BEN,2020,87.50481,12.114276,13070169,Africa
Bolivia,BOL,2020,81.56846,19.951153,11816301,South America
Bosnia and Herzegovina,BIH,2020,89.42567,12.805407,3299352,Europe
Brazil,BRA,2020,71.42405,27.168146,208660845,South America
Bulgaria,BGR,2020,85.093575,19.051838,6933656,Europe
Burkina Faso,BFA,2020,81.40154,26.533657,21478691,Africa
Cambodia,KHM,2020,,15.366249,16725484,Asia
Cameroon,CMR,2020,86.43171,20.092508,26210566,Africa
Canada,CAN,2020,84.21834,8.873781,38171903,North America
Chile,CHL,2020,84.13164,24.403812,19370621,South America
China,CHN,2020,63.353428,10.248862,1426106093,Asia
Colombia,COL,2020,85.64458,21.957514,50629997,South America
Congo,COG,2020,79.193275,27.280973,5752792,Africa
Costa Rica,CRI,2020,75.73848,25.011768,5034323,North America
Cote d'Ivoire,CIV,2020,81.8161,22.773167,28915452,Africa
Croatia,HRV,2020,87.80805,20.000946,3953956,Europe
Cyprus,CYP,2020,78.24367,10.929355,1302250,Europe
Czechia,CZE,2020,78.785194,13.284608,10550129,Europe
Denmark,DNK,2020,76.89948,15.279755,5831529,Europe
Dominican Republic,DOM,2020,89.972916,22.711874,11008298,North America
Ecuador,ECU,2020,87.61079,21.694708,17546058,South America
Egypt,EGY,2020,72.08198,56.098743,109315118,Africa
El Salvador,SLV,2020,83.997345,22.299795,6234679,North America
Estonia,EST,2020,74.37608,4.61636,1329675,Europe
Ethiopia,ETH,2020,72.80364,44.583668,118917670,Africa
Europe,OWID_EUR,2020,77.74236,19.050577,750844584,
Finland,FIN,2020,85.083595,6.6289506,5529616,Europe
France,FRA,2020,71.624275,12.134365,65905273,Europe
Gabon,GAB,2020,82.5198,25.64844,2322538,Africa
Georgia,GEO,2020,85.06311,21.63062,3795680,Asia
Germany,DEU,2020,87.444565,49.547153,83628711,Europe
Ghana,GHA,2020,67.62067,14.284058,31887802,Africa
Greece,GRC,2020,77.88381,8.805214,10699370,Europe
Guinea,GIN,2020,79.842705,20.85,13371185,Africa
High-income countries,OWID_HIC,2020,79.206436,15.034522,1403650770,
Hong Kong,HKG,2020,71.51011,6.4663973,7490240,Asia
Hungary,HUN,2020,70.5068,16.0622,9749459,Europe
India,IND,2020,82.82279,42.248962,1402617694,Asia
Indonesia,IDN,2020,84.52044,26.980623,274814861,Asia
Iran,IRN,2020,79.12761,28.924173,87723448,Asia
Iraq,IRQ,2020,76.73829,58.25895,42116602,Asia
Ireland,IRL,2020,82.88917,9.812321,4982602,Europe
Israel,ISR,2020,,11.779242,8800380,Asia
Italy,ITA,2020,85.10426,21.366873,59912763,Europe
Japan,JPN,2020,,2.7134778,126304533,Asia
Jordan,JOR,2020,67.017586,60.667377,10865232,Asia
Kazakhstan,KAZ,2020,70.82149,21.04929,19482116,Asia
Kenya,KEN,2020,87.82827,31.118677,52217327,Africa
Kosovo,OWID_KOS,2020,76.02753,24.117756,1751413,Europe
Kyrgyzstan,KGZ,2020,65.83268,34.736515,6664143,Asia
Laos,LAO,2020,95.364044,56.50934,7346534,Asia
Latvia,LVA,2020,73.28339,8.102485,1901119,Europe
Lebanon,LBN,2020,60.212986,33.557354,5702400,Asia
Lithuania,LTU,2020,,8.994,2795766,Europe
Low-income countries,OWID_LIC,2020,77.10451,36.88069,679560808,
Lower-middle-income countries,OWID_LMC,2020,81.32298,34.85157,2969245757,
Malaysia,MYS,2020,82.908806,14.158347,33889554,Asia
Mali,MLI,2020,82.08106,36.223072,21713837,Africa
Malta,MLT,2020,82.68385,15.609123,518212,Europe
Mauritius,MUS,2020,86.92501,37.353085,1283231,Africa
Mexico,MEX,2020,78.055336,19.028091,126799053,North America
Moldova,MDA,2020,84.50433,15.799915,3069135,Europe
Mongolia,MNG,2020,79.32224,17.31226,3290786,Asia
Montenegro,MNE,2020,,13.393899,607934,Europe
Morocco,MAR,2020,73.616425,55.639908,36584208,Africa
Myanmar,MMR,2020,73.42707,19.16524,53016525,Asia
Namibia,NAM,2020,,13.242371,2728760,Africa
Nepal,NPL,2020,83.74065,31.990816,28966580,Asia
Netherlands,NLD,2020,82.921455,19.575184,17636732,Europe
New Zealand,NZL,2020,75.589424,7.616393,5069895,Oceania
Nicaragua,NIC,2020,85.740456,26.092758,6565267,North America
Nigeria,NGA,2020,81.09143,11.506056,213996185,Africa
North America,OWID_NAM,2020,80.36922,10.888448,598250669,
North Macedonia,MKD,2020,84.93578,19.263893,1872021,Europe
Norway,NOR,2020,75.18707,9.8570595,5379275,Europe
Oceania,OWID_OCE,2020,82.779366,7.2630644,44079305,
Paraguay,PRY,2020,76.89931,18.502247,6603741,South America
Peru,PER,2020,84.922966,25.913599,32838577,South America
Philippines,PHL,2020,94.9963,28.208256,112081270,Asia
Poland,POL,2020,84.898705,17.411058,38171005,Europe
Portugal,PRT,2020,78.639946,24.664425,10370519,Europe
Romania,ROU,2020,83.580925,19.265442,19392467,Europe
Russia,RUS,2020,72.52477,9.941295,146371295,Europe
Saudi Arabia,SAU,2020,68.85982,49.74626,30991206,Asia
Senegal,SEN,2020,73.58441,23.88905,16789217,Africa
Serbia,SRB,2020,,21.168327,6907814,Europe
Slovakia,SVK,2020,84.32788,24.664183,5455028,Europe
Slovenia,SVN,2020,,16.971712,2102421,Europe
South Africa,ZAF,2020,83.09552,21.583582,60562374,Africa
South America,OWID_SAM,2020,77.21828,25.215714,426213552,
South Korea,KOR,2020,58.99228,9.0005245,51858481,Asia
Spain,ESP,2020,87.31633,22.522491,47679482,Europe
Sri Lanka,LKA,2020,84.744804,28.208971,22561808,Asia
Sweden,SWE,2020,90.40839,15.146934,10353682,Europe
Switzerland,CHE,2020,75.75294,34.36771,8640582,Europe
Taiwan,TWN,2020,,9.367289,23663461,Asia
Tanzania,TZA,2020,80.421844,34.58113,60972803,Africa
Thailand,THA,2020,81.801636,31.828373,71641484,Asia
Tunisia,TUN,2020,67.43499,46.760735,11974058,Africa
Turkey,TUR,2020,74.642845,13.326519,86091691,Asia
Uganda,UGA,2020,81.37971,25.087318,44457148,Africa
Ukraine,UKR,2020,68.07142,11.792821,44680008,Europe
United Arab Emirates,ARE,2020,79.77137,39.16091,9448529,Asia
United Kingdom,GBR,2020,72.84443,8.396421,67351860,Europe
United States,USA,2020,80.09102,7.2477846,339436156,North America
Upper-middle-income countries,OWID_UMC,2020,72.22729,15.149798,2832101028,
Uruguay,URY,2020,80.10275,21.92993,3398966,South America
Uzbekistan,UZB,2020,71.34779,50.216694,33586373,Asia
Venezuela,VEN,2020,87.47985,19.484858,28444080,South America
Vietnam,VNM,2020,87.42293,28.22067,98079196,Asia
World,OWID_WRL,2020,78.01984,23.61903,7887001289,
Zambia,ZMB,2020,85.21131,31.303564,19059394,Africa
Zimbabwe,ZWE,2020,93.6826,45.67105,15526887,Africa